"state","state_abrev","year","beer_per_capita","wine_per_capita","spirits_per_capita","all_alc"
"Alabama","AL",2011,"1.16","0.24","0.59","1.98"
"Alaska","AK",2011,"1.15","0.54","1.17","2.86"
"Arizona","AZ",2011,"1.15","0.44","0.8","2.39"
"Arkansas","AR",2011,"0.98","0.18","0.56","1.72"
"California","CA",2011,"0.95","0.58","0.72","2.25"
"Colorado","CO",2011,"1.2","0.49","1.04","2.73"
"Connecticut","CT",2011,"0.86","0.62","0.88","2.35"
"Delaware","DE",2011,"1.34","0.69","1.52","3.55"
"District of Columbia","DC",2011,"1.19","1.01","1.62","3.82"
"Florida","FL",2011,"1.13","0.49","0.93","2.54"
"Georgia","GA",2011,"1.06","0.25","0.67","1.98"
"Hawaii","HI",2011,"1.25","0.53","0.73","2.52"
"Idaho","ID",2011,"1","0.92","0.73","2.65"
"Illinois","IL",2011,"1.19","0.41","0.75","2.35"
"Indiana","IN",2011,"1.02","0.27","0.73","2.02"
"Iowa","IA",2011,"1.38","0.21","0.78","2.37"
"Kansas","KS",2011,"1.07","0.14","0.69","1.9"
"Kentucky","KY",2011,"0.94","0.19","0.66","1.79"
"Louisiana","LA",2011,"1.39","0.3","0.88","2.57"
"Maine","ME",2011,"1.31","0.42","0.87","2.6"
"Maryland","MD",2011,"0.92","0.39","0.89","2.19"
"Massachusetts","MA",2011,"1.02","0.64","0.88","2.54"
"Michigan","MI",2011,"1.07","0.35","0.83","2.25"
"Minnesota","MN",2011,"1.13","0.34","0.99","2.47"
"Mississippi","MS",2011,"1.36","0.16","0.71","2.22"
"Missouri","MO",2011,"1.24","0.34","0.86","2.45"
"Montana","MT",2011,"1.61","0.47","0.9","2.97"
"Nebraska","NE",2011,"1.39","0.21","0.69","2.28"
"Nevada","NV",2011,"1.45","0.63","1.27","3.35"
"New Hampshire","NH",2011,"1.86","0.92","1.98","4.77"
"New Jersey","NJ",2011,"0.89","0.58","0.89","2.36"
"New Mexico","NM",2011,"1.32","0.31","0.73","2.35"
"New York","NY",2011,"0.89","0.5","0.72","2.11"
"North Carolina","NC",2011,"1.05","0.37","0.58","2.01"
"North Dakota","ND",2011,"1.66","0.26","1.26","3.18"
"Ohio","OH",2011,"1.24","0.28","0.49","2.02"
"Oklahoma","OK",2011,"1.14","0.19","0.59","1.92"
"Oregon","OR",2011,"1.18","0.56","0.85","2.59"
"Pennsylvania","PA",2011,"1.37","0.3","0.66","2.33"
"Rhode Island","RI",2011,"1.04","0.58","0.94","2.55"
"South Carolina","SC",2011,"1.29","0.25","0.78","2.31"
"South Dakota","SD",2011,"1.51","0.28","0.97","2.77"
"Tennessee","TN",2011,"1.13","0.24","0.66","2.04"
"Texas","TX",2011,"1.35","0.31","0.61","2.27"
"Utah","UT",2011,"0.68","0.18","0.49","1.36"
"Vermont","VT",2011,"1.46","0.68","0.71","2.85"
"Virginia","VA",2011,"1.05","0.46","0.61","2.12"
"Washington","WA",2011,"0.97","0.54","0.75","2.25"
"West Virginia","WV",2011,"1.22","0.1","0.46","1.78"
"Wisconsin","WI",2011,"1.46","0.37","1.16","2.98"
"Wyoming","WY",2011,"1.29","0.27","1.1","2.66"
