"state","state_abrev","year","beer_per_capita","wine_per_capita","spirits_per_capita","all_alc"
"Alabama","AL",2004,"1.19","0.2","0.52","1.91"
"Alaska","AK",2004,"1.31","0.44","0.95","2.71"
"Arizona","AZ",2004,"1.4","0.34","0.71","2.44"
"Arkansas","AR",2004,"1.04","0.15","0.49","1.68"
"California","CA",2004,"1.07","0.52","0.67","2.25"
"Colorado","CO",2004,"1.3","0.43","0.95","2.68"
"Connecticut","CT",2004,"0.93","0.53","0.79","2.25"
"Delaware","DE",2004,"1.42","0.57","1.28","3.27"
"District of Columbia","DC",2004,"1.38","0.91","1.52","3.8"
"Florida","FL",2004,"1.34","0.46","0.88","2.68"
"Georgia","GA",2004,"1.19","0.27","0.65","2.11"
"Hawaii","HI",2004,"1.38","0.43","0.7","2.5"
"Idaho","ID",2004,"1.14","0.72","0.57","2.43"
"Illinois","IL",2004,"1.24","0.32","0.67","2.22"
"Indiana","IN",2004,"1.14","0.22","0.65","2.01"
"Iowa","IA",2004,"1.39","0.16","0.57","2.12"
"Kansas","KS",2004,"1.14","0.16","0.56","1.86"
"Kentucky","KY",2004,"1.07","0.17","0.57","1.81"
"Louisiana","LA",2004,"1.38","0.26","0.73","2.36"
"Maine","ME",2004,"1.26","0.41","0.76","2.44"
"Maryland","MD",2004,"1.03","0.33","0.79","2.15"
"Massachusetts","MA",2004,"1.1","0.58","0.84","2.52"
"Michigan","MI",2004,"1.16","0.27","0.72","2.15"
"Minnesota","MN",2004,"1.24","0.31","0.94","2.5"
"Mississippi","MS",2004,"1.38","0.13","0.63","2.14"
"Missouri","MO",2004,"1.33","0.27","0.72","2.32"
"Montana","MT",2004,"1.57","0.34","0.75","2.66"
"Nebraska","NE",2004,"1.44","0.2","0.65","2.28"
"Nevada","NV",2004,"1.73","0.63","1.25","3.61"
"New Hampshire","NH",2004,"1.74","0.73","1.67","4.14"
"New Jersey","NJ",2004,"0.96","0.52","0.82","2.3"
"New Mexico","NM",2004,"1.46","0.25","0.66","2.36"
"New York","NY",2004,"0.92","0.42","0.62","1.96"
"North Carolina","NC",2004,"1.16","0.3","0.53","1.99"
"North Dakota","ND",2004,"1.49","0.18","0.82","2.49"
"Ohio","OH",2004,"1.34","0.22","0.42","1.97"
"Oklahoma","OK",2004,"1.11","0.13","0.46","1.7"
"Oregon","OR",2004,"1.23","0.49","0.72","2.44"
"Pennsylvania","PA",2004,"1.3","0.23","0.53","2.06"
"Rhode Island","RI",2004,"1.13","0.5","0.8","2.42"
"South Carolina","SC",2004,"1.39","0.24","0.76","2.38"
"South Dakota","SD",2004,"1.51","0.18","0.76","2.45"
"Tennessee","TN",2004,"1.22","0.18","0.53","1.93"
"Texas","TX",2004,"1.45","0.24","0.52","2.21"
"Utah","UT",2004,"0.76","0.15","0.39","1.3"
"Vermont","VT",2004,"1.34","0.55","0.66","2.56"
"Virginia","VA",2004,"1.14","0.37","0.53","2.04"
"Washington","WA",2004,"1.11","0.53","0.66","2.3"
"West Virginia","WV",2004,"1.25","0.1","0.39","1.75"
"Wisconsin","WI",2004,"1.53","0.3","1.02","2.85"
"Wyoming","WY",2004,"1.42","0.24","0.92","2.58"
